  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 1226                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4074   0.00982   0.00401  -0.0256   0.6445   0.3319
  -4.000  -0.3131   0.00955   0.00369  -0.0220   0.5999   0.3643
  -3.000  -0.2155   0.00941   0.00347  -0.0190   0.5585   0.3945
  -2.000  -0.1164   0.00930   0.00333  -0.0163   0.5204   0.4262
  -1.000  -0.0154   0.00927   0.00327  -0.0139   0.4858   0.4582
   0.000   0.0827   0.00930   0.00329  -0.0109   0.4504   0.4971
   1.000   0.1822   0.00936   0.00337  -0.0083   0.4189   0.5338
   2.000   0.2784   0.00960   0.00355  -0.0051   0.3859   0.5703
   3.000   0.3724   0.00978   0.00379  -0.0016   0.3575   0.6114
   4.000   0.4571   0.01014   0.00417   0.0037   0.3299   0.6548
   5.000   0.5496   0.01067   0.00476   0.0070   0.3064   0.7025
   6.000   0.6421   0.01130   0.00551   0.0101   0.2867   0.7541
   7.000   0.7321   0.01210   0.00645   0.0133   0.2704   0.8085
   8.000   0.8177   0.01315   0.00764   0.0169   0.2565   0.8632
   9.000   0.8988   0.01444   0.00906   0.0209   0.2445   0.9154
  10.000   0.9755   0.01594   0.01070   0.0255   0.2347   0.9617
  11.000   1.0722   0.01810   0.01287   0.0246   0.2239   0.9899
  12.000   1.1894   0.02083   0.01559   0.0182   0.2120   0.9973
  13.000   1.2404   0.02358   0.01836   0.0232   0.2017   1.0000
  14.000   1.2866   0.02682   0.02166   0.0283   0.1921   1.0000
  15.000   1.3338   0.03134   0.02624   0.0310   0.1815   1.0000
