  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 5321                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0099   0.01065   0.00395  -0.1015   0.6020   0.0843
  -4.000   0.0944   0.01045   0.00360  -0.0997   0.5543   0.0968
  -2.000   0.2998   0.01044   0.00330  -0.0957   0.4594   0.1354
  -1.000   0.4012   0.01054   0.00333  -0.0936   0.4224   0.1676
   0.000   0.5033   0.01060   0.00345  -0.0917   0.3982   0.2167
   1.000   0.5987   0.01001   0.00363  -0.0891   0.3821   0.4942
   2.000   0.6893   0.00994   0.00407  -0.0851   0.3695   0.6927
   3.000   0.7864   0.01003   0.00464  -0.0822   0.3618   0.8555
   4.000   0.8813   0.01069   0.00545  -0.0787   0.3529   0.9779
   5.000   1.0095   0.01146   0.00616  -0.0833   0.3464   1.0000
   6.000   1.0909   0.01215   0.00681  -0.0784   0.3399   1.0000
   7.000   1.1767   0.01328   0.00787  -0.0750   0.3320   1.0000
   8.000   1.2695   0.01422   0.00886  -0.0731   0.3268   1.0000
   9.000   1.3549   0.01558   0.01021  -0.0705   0.3194   1.0000
  10.000   1.4399   0.01706   0.01176  -0.0682   0.3128   1.0000
  11.000   1.5220   0.01872   0.01350  -0.0659   0.3054   1.0000
  12.000   1.5964   0.02089   0.01574  -0.0632   0.2973   1.0000
  13.000   1.6679   0.02339   0.01832  -0.0607   0.2882   1.0000
  14.000   1.7335   0.02641   0.02148  -0.0582   0.2782   1.0000
  15.000   1.7869   0.03052   0.02569  -0.0554   0.2660   1.0000
  16.000   1.8289   0.03575   0.03103  -0.0524   0.2521   1.0000
  17.000   1.8566   0.04250   0.03791  -0.0495   0.2373   1.0000
  18.000   1.8648   0.05138   0.04694  -0.0468   0.2211   1.0000
