  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 3515                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1659   0.00833   0.00274  -0.0934   0.8457   0.1239
  -4.000  -0.0540   0.00776   0.00224  -0.0932   0.8154   0.1702
  -3.000   0.0582   0.00733   0.00190  -0.0931   0.7818   0.2292
  -2.000   0.1704   0.00701   0.00169  -0.0929   0.7453   0.2999
  -1.000   0.2823   0.00680   0.00159  -0.0927   0.7058   0.3795
   0.000   0.3933   0.00670   0.00161  -0.0922   0.6632   0.4699
   1.000   0.5031   0.00666   0.00174  -0.0916   0.6184   0.5772
   2.000   0.6100   0.00666   0.00198  -0.0904   0.5699   0.7198
   3.000   0.7078   0.00664   0.00240  -0.0866   0.5190   0.9309
   4.000   0.8450   0.00732   0.00285  -0.0921   0.4576   1.0000
   5.000   0.9367   0.00810   0.00334  -0.0881   0.3952   1.0000
   6.000   1.0305   0.00909   0.00403  -0.0847   0.3281   1.0000
   7.000   1.1199   0.01037   0.00496  -0.0807   0.2573   1.0000
   8.000   1.2019   0.01190   0.00616  -0.0756   0.1900   1.0000
   9.000   1.2722   0.01373   0.00769  -0.0687   0.1348   1.0000
  10.000   1.3404   0.01580   0.00959  -0.0621   0.0966   1.0000
  11.000   1.4033   0.01828   0.01196  -0.0555   0.0718   1.0000
  12.000   1.4610   0.02126   0.01493  -0.0492   0.0563   1.0000
  13.000   1.5130   0.02486   0.01862  -0.0433   0.0466   1.0000
  14.000   1.5551   0.02954   0.02341  -0.0377   0.0398   1.0000
  15.000   1.5874   0.03550   0.02954  -0.0329   0.0349   1.0000
  16.000   1.6098   0.04312   0.03738  -0.0293   0.0313   1.0000
  17.000   1.6165   0.05321   0.04774  -0.0273   0.0286   1.0000
  18.000   1.6142   0.06523   0.06003  -0.0271   0.0263   1.0000
