  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 3133                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1442   0.01180   0.00555  -0.0504   0.5272   0.3396
  -4.000  -0.0842   0.01151   0.00525  -0.0408   0.5016   0.3643
  -3.000  -0.0543   0.01142   0.00515  -0.0248   0.4787   0.3883
  -2.000  -0.0205   0.01139   0.00510  -0.0095   0.4563   0.4105
  -1.000   0.0449   0.01152   0.00522  -0.0008   0.4326   0.4367
   0.000   0.1219   0.01180   0.00550   0.0052   0.4099   0.4657
   1.000   0.2035   0.01226   0.00594   0.0099   0.3871   0.4920
   2.000   0.2844   0.01293   0.00659   0.0142   0.3621   0.5217
   3.000   0.3703   0.01368   0.00740   0.0171   0.3422   0.5539
   4.000   0.4553   0.01469   0.00846   0.0197   0.3233   0.5883
   6.000   0.6166   0.01766   0.01159   0.0242   0.2862   0.6678
   7.000   0.6901   0.01985   0.01387   0.0264   0.2678   0.7138
   8.000   0.7562   0.02267   0.01681   0.0287   0.2493   0.7661
   9.000   0.8181   0.02599   0.02034   0.0308   0.2319   0.8257
  10.000   0.8656   0.03035   0.02492   0.0338   0.2137   0.8904
  11.000   0.8948   0.03592   0.03063   0.0383   0.1964   0.9518
  12.000   0.9314   0.04287   0.03761   0.0389   0.1791   0.9895
  13.000   0.9857   0.05193   0.04668   0.0321   0.1640   0.9968
  14.000   0.9992   0.06120   0.05600   0.0316   0.1546   1.0000
  15.000   0.9889   0.07066   0.06554   0.0345   0.1482   1.0000
  16.000   1.0025   0.07958   0.07457   0.0341   0.1443   1.0000
  17.000   1.0110   0.08967   0.08476   0.0327   0.1410   1.0000
  18.000   1.0275   0.09908   0.09423   0.0304   0.1380   1.0000
