  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2130                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2658   0.01072   0.00470  -0.0386   0.5715   0.3470
  -4.000  -0.1922   0.01056   0.00445  -0.0312   0.5385   0.3704
  -3.000  -0.1155   0.01049   0.00434  -0.0241   0.5096   0.3949
  -2.000  -0.0354   0.01038   0.00424  -0.0178   0.4817   0.4232
  -1.000   0.0452   0.01037   0.00421  -0.0116   0.4544   0.4492
   0.000   0.1130   0.01043   0.00424  -0.0028   0.4268   0.4761
   1.000   0.1930   0.01064   0.00443   0.0032   0.4000   0.5054
   3.000   0.3684   0.01149   0.00530   0.0111   0.3498   0.5723
   4.000   0.4554   0.01220   0.00603   0.0146   0.3261   0.6101
   5.000   0.5439   0.01299   0.00690   0.0173   0.3052   0.6521
   6.000   0.6297   0.01408   0.00806   0.0200   0.2842   0.6968
   7.000   0.7096   0.01552   0.00961   0.0230   0.2632   0.7481
   8.000   0.7839   0.01741   0.01162   0.0261   0.2431   0.8036
   9.000   0.8528   0.01977   0.01415   0.0293   0.2235   0.8620
  11.000   0.9538   0.02708   0.02167   0.0384   0.1875   0.9738
  12.000   1.0267   0.03289   0.02744   0.0343   0.1708   0.9932
  13.000   1.0931   0.03986   0.03441   0.0292   0.1590   1.0000
  14.000   1.0998   0.04584   0.04047   0.0352   0.1532   1.0000
  15.000   1.1102   0.05413   0.04887   0.0371   0.1479   1.0000
  16.000   1.1305   0.06246   0.05732   0.0370   0.1443   1.0000
  17.000   1.1389   0.07225   0.06721   0.0363   0.1403   1.0000
  18.000   1.1600   0.08109   0.07619   0.0347   0.1382   1.0000
