  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 3437                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0682   0.01437   0.00763  -0.0902   0.5141   0.2748
  -3.000  -0.1354   0.01391   0.00713  -0.0373   0.4851   0.2994
  -2.000  -0.0867   0.01396   0.00717  -0.0265   0.4713   0.3155
  -1.000  -0.0218   0.01417   0.00737  -0.0191   0.4571   0.3342
   0.000   0.0593   0.01435   0.00764  -0.0150   0.4463   0.3566
   1.000   0.1380   0.01484   0.00818  -0.0108   0.4334   0.3825
   2.000   0.2264   0.01531   0.00877  -0.0087   0.4225   0.4146
   3.000   0.3125   0.01608   0.00969  -0.0066   0.4114   0.4543
   4.000   0.3940   0.01727   0.01097  -0.0042   0.3984   0.4968
   5.000   0.4860   0.01833   0.01222  -0.0038   0.3884   0.5391
   6.000   0.5688   0.01999   0.01401  -0.0026   0.3769   0.5794
   7.000   0.6443   0.02222   0.01631  -0.0010   0.3641   0.6175
   8.000   0.7263   0.02436   0.01868  -0.0006   0.3543   0.6638
   9.000   0.7981   0.02719   0.02169   0.0005   0.3432   0.7131
  10.000   0.8602   0.03069   0.02541   0.0021   0.3314   0.7727
  11.000   0.9211   0.03443   0.02945   0.0036   0.3208   0.8439
  12.000   0.9710   0.03857   0.03391   0.0068   0.3106   0.9248
  13.000   1.0137   0.04382   0.03927   0.0095   0.2999   0.9856
  14.000   1.0886   0.05057   0.04602   0.0031   0.2882   0.9966
  15.000   1.1247   0.05701   0.05249   0.0034   0.2778   1.0000
  16.000   1.1426   0.06367   0.05921   0.0063   0.2677   1.0000
  17.000   1.1635   0.07123   0.06681   0.0072   0.2574   1.0000
  18.000   1.1830   0.07931   0.07493   0.0073   0.2470   1.0000
