  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 6336                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1194   0.01589   0.00844  -0.0655   0.4514   0.1543
  -4.000  -0.0640   0.01613   0.00860  -0.0564   0.4287   0.1632
  -3.000   0.0002   0.01654   0.00895  -0.0494   0.4080   0.1752
  -2.000   0.0735   0.01713   0.00953  -0.0444   0.3920   0.1892
  -1.000   0.1505   0.01797   0.01037  -0.0406   0.3797   0.2060
   0.000   0.2317   0.01890   0.01137  -0.0378   0.3703   0.2304
   1.000   0.3140   0.02006   0.01265  -0.0358   0.3632   0.2637
   2.000   0.3971   0.02071   0.01401  -0.0346   0.3574   0.4328
   3.000   0.4761   0.02252   0.01606  -0.0330   0.3505   0.5163
   4.000   0.5676   0.02415   0.01789  -0.0335   0.3472   0.5687
   5.000   0.6528   0.02623   0.02015  -0.0335   0.3428   0.6171
   6.000   0.7317   0.02874   0.02280  -0.0332   0.3379   0.6695
   7.000   0.8156   0.03095   0.02527  -0.0336   0.3338   0.7378
   8.000   0.8930   0.03367   0.02836  -0.0335   0.3304   0.8254
   9.000   0.9516   0.03674   0.03184  -0.0299   0.3262   0.9546
  10.000   1.0539   0.03969   0.03473  -0.0352   0.3210   0.9966
  11.000   1.1165   0.04376   0.03887  -0.0356   0.3179   1.0000
  12.000   1.1759   0.04788   0.04301  -0.0355   0.3138   1.0000
  13.000   1.2406   0.05166   0.04673  -0.0361   0.3087   1.0000
  14.000   1.2897   0.05711   0.05230  -0.0364   0.3049   1.0000
  15.000   1.3350   0.06300   0.05826  -0.0370   0.3001   1.0000
  16.000   1.3933   0.06751   0.06275  -0.0383   0.2949   1.0000
  17.000   1.4088   0.07627   0.07171  -0.0383   0.2897   1.0000
  18.000   1.4569   0.08182   0.07725  -0.0400   0.2838   1.0000
