  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 8551                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.2744   0.00000  -0.00425  -0.1584   0.0000   0.0000
  -7.500   0.1238   0.00000  -0.00426  -0.1871   0.0000   0.0000
  -5.000   0.5218   0.00000  -0.00427  -0.2172   0.0000   0.0000
  -2.500   0.9188   0.00000  -0.00428  -0.2484   0.0000   0.0000
   0.000   1.3140   0.00000  -0.00429  -0.2806   0.0000   0.0000
   2.500   1.7068   0.00000  -0.00429  -0.3134   0.0000   0.0000
   5.000   2.0963   0.00000  -0.00429  -0.3467   0.0000   0.0000
   7.500   2.4818   0.00000  -0.00428  -0.3801   0.0000   0.0000
  10.000   2.8626   0.00000  -0.00427  -0.4134   0.0000   0.0000
  12.500   3.2379   0.00000  -0.00426  -0.4464   0.0000   0.0000
  15.000   3.6071   0.00000  -0.00423  -0.4788   0.0000   0.0000
  17.500   3.9695   0.00000  -0.00421  -0.5103   0.0000   0.0000
  20.000   4.3242   0.00000  -0.00417  -0.5408   0.0000   0.0000
  22.500   4.6708   0.00000  -0.00413  -0.5700   0.0000   0.0000
  25.000   5.0084   0.00000  -0.00408  -0.5976   0.0000   0.0000
