  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 8086                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.9070   0.00000  -0.00418   0.1878   0.0000   0.0000
  -7.500  -0.4221   0.00000  -0.00419   0.1266   0.0000   0.0000
  -5.000   0.0636   0.00000  -0.00419   0.0610   0.0000   0.0000
  -2.500   0.5492   0.00000  -0.00418  -0.0084   0.0000   0.0000
   0.000   1.0337   0.00000  -0.00417  -0.0810   0.0000   0.0000
   2.500   1.5163   0.00000  -0.00416  -0.1563   0.0000   0.0000
   5.000   1.9960   0.00000  -0.00414  -0.2337   0.0000   0.0000
   7.500   2.4719   0.00000  -0.00411  -0.3127   0.0000   0.0000
  10.000   2.9431   0.00000  -0.00408  -0.3926   0.0000   0.0000
  12.500   3.4087   0.00000  -0.00404  -0.4729   0.0000   0.0000
  15.000   3.8678   0.00000  -0.00399  -0.5528   0.0000   0.0000
  17.500   4.3195   0.00000  -0.00394  -0.6319   0.0000   0.0000
  20.000   4.7630   0.00000  -0.00388  -0.7095   0.0000   0.0000
  22.500   5.1975   0.00000  -0.00381  -0.7850   0.0000   0.0000
  25.000   5.6221   0.00000  -0.00374  -0.8579   0.0000   0.0000
