  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 6406                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.4355   0.00000  -0.00162  -0.1549   0.0000   0.0000
  -7.500  -0.1456   0.00000  -0.00128  -0.1564   0.0000   0.0000
  -5.000   0.1445   0.00000  -0.00101  -0.1581   0.0000   0.0000
  -2.500   0.4342   0.00000  -0.00082  -0.1602   0.0000   0.0000
   0.000   0.7230   0.00000  -0.00073  -0.1625   0.0000   0.0000
   2.500   1.0103   0.00000  -0.00074  -0.1650   0.0000   0.0000
   5.000   1.2956   0.00000  -0.00088  -0.1678   0.0000   0.0000
   7.500   1.5784   0.00000  -0.00113  -0.1707   0.0000   0.0000
  10.000   1.8582   0.00000  -0.00153  -0.1739   0.0000   0.0000
  12.500   2.1344   0.00000  -0.00205  -0.1772   0.0000   0.0000
  15.000   2.4065   0.00000  -0.00271  -0.1806   0.0000   0.0000
  17.500   2.6741   0.00000  -0.00351  -0.1842   0.0000   0.0000
  20.000   2.9366   0.00000  -0.00443  -0.1878   0.0000   0.0000
  22.500   3.1936   0.00000  -0.00547  -0.1915   0.0000   0.0000
  25.000   3.4445   0.00000  -0.00663  -0.1952   0.0000   0.0000
