  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2984                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.3108   0.00000  -0.00457   0.1313   0.0000   0.0000
  -7.500  -0.8328   0.00000  -0.00459   0.0656   0.0000   0.0000
  -5.000  -0.3533   0.00000  -0.00461  -0.0016   0.0000   0.0000
  -2.500   0.1270   0.00000  -0.00462  -0.0697   0.0000   0.0000
   0.000   0.6069   0.00000  -0.00462  -0.1381   0.0000   0.0000
   2.500   1.0858   0.00000  -0.00462  -0.2065   0.0000   0.0000
   5.000   1.5625   0.00000  -0.00461  -0.2742   0.0000   0.0000
   7.500   2.0363   0.00000  -0.00459  -0.3407   0.0000   0.0000
  10.000   2.5063   0.00000  -0.00457  -0.4056   0.0000   0.0000
  12.500   2.9714   0.00000  -0.00454  -0.4683   0.0000   0.0000
  15.000   3.4309   0.00000  -0.00450  -0.5284   0.0000   0.0000
  17.500   3.8839   0.00000  -0.00446  -0.5854   0.0000   0.0000
  20.000   4.3295   0.00000  -0.00441  -0.6389   0.0000   0.0000
  22.500   4.7668   0.00000  -0.00434  -0.6885   0.0000   0.0000
  25.000   5.1951   0.00000  -0.00427  -0.7337   0.0000   0.0000
