  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 1425                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.1876   0.00000  -0.00250   0.0088   0.0000   0.0000
  -7.500  -0.8576   0.00000  -0.00248  -0.0002   0.0000   0.0000
  -5.000  -0.5260   0.00000  -0.00247  -0.0096   0.0000   0.0000
  -2.500  -0.1934   0.00000  -0.00246  -0.0192   0.0000   0.0000
   0.000   0.1396   0.00000  -0.00246  -0.0290   0.0000   0.0000
   2.500   0.4723   0.00000  -0.00246  -0.0388   0.0000   0.0000
   5.000   0.8041   0.00000  -0.00248  -0.0486   0.0000   0.0000
   7.500   1.1344   0.00000  -0.00249  -0.0583   0.0000   0.0000
  10.000   1.4625   0.00000  -0.00252  -0.0679   0.0000   0.0000
  12.500   1.7879   0.00000  -0.00255  -0.0773   0.0000   0.0000
  15.000   2.1098   0.00000  -0.00258  -0.0863   0.0000   0.0000
  17.500   2.4278   0.00000  -0.00261  -0.0950   0.0000   0.0000
  20.000   2.7411   0.00000  -0.00265  -0.1033   0.0000   0.0000
  22.500   3.0492   0.00000  -0.00269  -0.1111   0.0000   0.0000
  25.000   3.3516   0.00000  -0.00272  -0.1183   0.0000   0.0000
