  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 6215                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.600 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000   0.2002   0.01765   0.01323  -0.1013   0.5667   0.0338
  -3.000   0.2846   0.01115   0.00556  -0.0982   0.4849   0.0403
  -1.000   0.4669   0.00440  -0.00372  -0.0908   0.3015   0.0417
   0.000   0.5663   0.00417  -0.00416  -0.0887   0.2789   0.0501
   1.000   0.6641   0.00411  -0.00430  -0.0865   0.2683   0.0624
   2.000   0.7642   0.00412  -0.00426  -0.0848   0.2632   0.0831
   3.000   0.8602   0.00430  -0.00407  -0.0826   0.2579   0.1239
   4.000   0.9518   0.00371  -0.00282  -0.0801   0.2526   1.0000
   5.000   1.0408   0.00415  -0.00244  -0.0768   0.2504   1.0000
   6.000   1.1263   0.00475  -0.00187  -0.0733   0.2475   1.0000
   7.000   1.2100   0.00548  -0.00115  -0.0700   0.2441   1.0000
   8.000   1.2925   0.00647  -0.00014  -0.0669   0.2413   1.0000
   9.000   1.3841   0.00827   0.00165  -0.0657   0.2374   1.0000
  10.000   1.4603   0.00957   0.00314  -0.0623   0.2355   1.0000
  11.000   1.5320   0.01124   0.00502  -0.0587   0.2333   1.0000
  12.000   1.5981   0.01336   0.00737  -0.0549   0.2306   1.0000
  13.000   1.6587   0.01589   0.01012  -0.0510   0.2276   1.0000
  14.000   1.7235   0.01893   0.01335  -0.0481   0.2248   1.0000
  15.000   1.7754   0.02366   0.01840  -0.0445   0.2212   1.0000
  16.000   1.7619   0.03022   0.02542  -0.0365   0.2162   1.0000
  17.000   1.7769   0.03687   0.03227  -0.0327   0.2102   1.0000
  18.000   1.7499   0.04940   0.04529  -0.0291   0.2047   1.0000
