  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 9079                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.7132   0.00000  -0.00426   0.1405   0.0000   0.0000
  -7.500  -0.2457   0.00000  -0.00426   0.0884   0.0000   0.0000
  -5.000   0.2223   0.00000  -0.00426   0.0321   0.0000   0.0000
  -2.500   0.6898   0.00000  -0.00426  -0.0281   0.0000   0.0000
   0.000   1.1560   0.00000  -0.00424  -0.0917   0.0000   0.0000
   2.500   1.6200   0.00000  -0.00423  -0.1582   0.0000   0.0000
   5.000   2.0810   0.00000  -0.00420  -0.2270   0.0000   0.0000
   7.500   2.5379   0.00000  -0.00418  -0.2978   0.0000   0.0000
  10.000   2.9901   0.00000  -0.00414  -0.3699   0.0000   0.0000
  12.500   3.4365   0.00000  -0.00410  -0.4428   0.0000   0.0000
  15.000   3.8764   0.00000  -0.00406  -0.5159   0.0000   0.0000
  17.500   4.3090   0.00000  -0.00400  -0.5887   0.0000   0.0000
  20.000   4.7333   0.00000  -0.00394  -0.6606   0.0000   0.0000
  22.500   5.1486   0.00000  -0.00388  -0.7311   0.0000   0.0000
  25.000   5.5542   0.00000  -0.00380  -0.7997   0.0000   0.0000
