  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 6569                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.7584   0.00000  -0.00435  -0.0176   0.0000   0.0000
  -7.500  -0.3165   0.00000  -0.00437  -0.0634   0.0000   0.0000
  -5.000   0.1261   0.00000  -0.00438  -0.1110   0.0000   0.0000
  -2.500   0.5683   0.00000  -0.00439  -0.1601   0.0000   0.0000
   0.000   1.0095   0.00000  -0.00439  -0.2103   0.0000   0.0000
   2.500   1.4488   0.00000  -0.00439  -0.2611   0.0000   0.0000
   5.000   1.8853   0.00000  -0.00438  -0.3124   0.0000   0.0000
   7.500   2.3183   0.00000  -0.00437  -0.3635   0.0000   0.0000
  10.000   2.7468   0.00000  -0.00435  -0.4142   0.0000   0.0000
  12.500   3.1701   0.00000  -0.00432  -0.4641   0.0000   0.0000
  15.000   3.5874   0.00000  -0.00429  -0.5128   0.0000   0.0000
  17.500   3.9978   0.00000  -0.00425  -0.5599   0.0000   0.0000
  20.000   4.4006   0.00000  -0.00421  -0.6050   0.0000   0.0000
  22.500   4.7951   0.00000  -0.00415  -0.6479   0.0000   0.0000
  25.000   5.1804   0.00000  -0.00409  -0.6881   0.0000   0.0000
