  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2508                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.8976   0.00000  -0.00102  -0.0566   0.0000   0.0000
  -7.500  -0.6066   0.00000  -0.00089  -0.0587   0.0000   0.0000
  -5.000  -0.3144   0.00000  -0.00080  -0.0608   0.0000   0.0000
  -2.500  -0.0216   0.00000  -0.00074  -0.0629   0.0000   0.0000
   0.000   0.2712   0.00000  -0.00073  -0.0651   0.0000   0.0000
   2.500   0.5634   0.00000  -0.00075  -0.0673   0.0000   0.0000
   5.000   0.8546   0.00000  -0.00082  -0.0696   0.0000   0.0000
   7.500   1.1442   0.00000  -0.00093  -0.0718   0.0000   0.0000
  10.000   1.4316   0.00000  -0.00108  -0.0740   0.0000   0.0000
  12.500   1.7163   0.00000  -0.00127  -0.0761   0.0000   0.0000
  15.000   1.9978   0.00000  -0.00150  -0.0782   0.0000   0.0000
  17.500   2.2755   0.00000  -0.00175  -0.0803   0.0000   0.0000
  20.000   2.5489   0.00000  -0.00204  -0.0822   0.0000   0.0000
  22.500   2.8174   0.00000  -0.00235  -0.0840   0.0000   0.0000
  25.000   3.0807   0.00000  -0.00267  -0.0857   0.0000   0.0000
