  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 5345                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.8191   0.00000  -0.00395  -0.0295   0.0000   0.0000
  -7.500  -0.4378   0.00000  -0.00395  -0.0508   0.0000   0.0000
  -5.000  -0.0556   0.00000  -0.00394  -0.0735   0.0000   0.0000
  -2.500   0.3266   0.00000  -0.00394  -0.0973   0.0000   0.0000
   0.000   0.7083   0.00000  -0.00394  -0.1220   0.0000   0.0000
   2.500   1.0886   0.00000  -0.00393  -0.1475   0.0000   0.0000
   5.000   1.4668   0.00000  -0.00393  -0.1735   0.0000   0.0000
   7.500   1.8423   0.00000  -0.00392  -0.1999   0.0000   0.0000
  10.000   2.2142   0.00000  -0.00392  -0.2265   0.0000   0.0000
  12.500   2.5819   0.00000  -0.00391  -0.2530   0.0000   0.0000
  15.000   2.9448   0.00000  -0.00390  -0.2793   0.0000   0.0000
  17.500   3.3020   0.00000  -0.00388  -0.3052   0.0000   0.0000
  20.000   3.6529   0.00000  -0.00386  -0.3304   0.0000   0.0000
  22.500   3.9969   0.00000  -0.00384  -0.3548   0.0000   0.0000
  25.000   4.3333   0.00000  -0.00381  -0.3781   0.0000   0.0000
