  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4561                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.0151   0.00000  -0.00425   0.0143   0.0000   0.0000
  -7.500  -0.5946   0.00000  -0.00427  -0.0228   0.0000   0.0000
  -5.000  -0.1730   0.00000  -0.00428  -0.0613   0.0000   0.0000
  -2.500   0.2489   0.00000  -0.00429  -0.1007   0.0000   0.0000
   0.000   0.6703   0.00000  -0.00429  -0.1409   0.0000   0.0000
   2.500   1.0904   0.00000  -0.00429  -0.1815   0.0000   0.0000
   5.000   1.5085   0.00000  -0.00429  -0.2222   0.0000   0.0000
   7.500   1.9237   0.00000  -0.00428  -0.2627   0.0000   0.0000
  10.000   2.3353   0.00000  -0.00426  -0.3027   0.0000   0.0000
  12.500   2.7424   0.00000  -0.00424  -0.3419   0.0000   0.0000
  15.000   3.1443   0.00000  -0.00422  -0.3800   0.0000   0.0000
  17.500   3.5402   0.00000  -0.00419  -0.4166   0.0000   0.0000
  20.000   3.9294   0.00000  -0.00415  -0.4516   0.0000   0.0000
  22.500   4.3111   0.00000  -0.00411  -0.4846   0.0000   0.0000
  25.000   4.6846   0.00000  -0.00406  -0.5154   0.0000   0.0000
