  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 9262                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.4418   0.00000  -0.00456  -0.0137   0.0000   0.0000
  -7.500  -0.0163   0.00000  -0.00455  -0.0488   0.0000   0.0000
  -5.000   0.4093   0.00000  -0.00454  -0.0868   0.0000   0.0000
  -2.500   0.8341   0.00000  -0.00453  -0.1276   0.0000   0.0000
   0.000   1.2573   0.00000  -0.00451  -0.1708   0.0000   0.0000
   2.500   1.6781   0.00000  -0.00449  -0.2161   0.0000   0.0000
   5.000   2.0957   0.00000  -0.00446  -0.2631   0.0000   0.0000
   7.500   2.5093   0.00000  -0.00443  -0.3115   0.0000   0.0000
  10.000   2.9182   0.00000  -0.00440  -0.3609   0.0000   0.0000
  12.500   3.3215   0.00000  -0.00436  -0.4109   0.0000   0.0000
  15.000   3.7185   0.00000  -0.00432  -0.4612   0.0000   0.0000
  17.500   4.1084   0.00000  -0.00427  -0.5114   0.0000   0.0000
  20.000   4.4905   0.00000  -0.00422  -0.5611   0.0000   0.0000
  22.500   4.8640   0.00000  -0.00416  -0.6098   0.0000   0.0000
  25.000   5.2283   0.00000  -0.00409  -0.6573   0.0000   0.0000
