  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 1141                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.3553   0.00000  -0.00369   0.0656   0.0000   0.0000
  -7.500  -0.9870   0.00000  -0.00369   0.0465   0.0000   0.0000
  -5.000  -0.6169   0.00000  -0.00369   0.0268   0.0000   0.0000
  -2.500  -0.2455   0.00000  -0.00369   0.0065   0.0000   0.0000
   0.000   0.1263   0.00000  -0.00369  -0.0142   0.0000   0.0000
   2.500   0.4978   0.00000  -0.00369  -0.0351   0.0000   0.0000
   5.000   0.8684   0.00000  -0.00369  -0.0561   0.0000   0.0000
   7.500   1.2374   0.00000  -0.00369  -0.0770   0.0000   0.0000
  10.000   1.6040   0.00000  -0.00369  -0.0976   0.0000   0.0000
  12.500   1.9675   0.00000  -0.00369  -0.1178   0.0000   0.0000
  15.000   2.3273   0.00000  -0.00368  -0.1374   0.0000   0.0000
  17.500   2.6827   0.00000  -0.00368  -0.1563   0.0000   0.0000
  20.000   3.0330   0.00000  -0.00367  -0.1744   0.0000   0.0000
  22.500   3.3775   0.00000  -0.00367  -0.1914   0.0000   0.0000
  25.000   3.7156   0.00000  -0.00365  -0.2073   0.0000   0.0000
