  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 5370                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.0305   0.00000  -0.00432   0.0711   0.0000   0.0000
  -7.500  -0.5871   0.00000  -0.00433   0.0259   0.0000   0.0000
  -5.000  -0.1426   0.00000  -0.00433  -0.0214   0.0000   0.0000
  -2.500   0.3022   0.00000  -0.00432  -0.0705   0.0000   0.0000
   0.000   0.7464   0.00000  -0.00432  -0.1211   0.0000   0.0000
   2.500   1.1891   0.00000  -0.00430  -0.1727   0.0000   0.0000
   5.000   1.6296   0.00000  -0.00429  -0.2250   0.0000   0.0000
   7.500   2.0671   0.00000  -0.00427  -0.2776   0.0000   0.0000
  10.000   2.5005   0.00000  -0.00424  -0.3300   0.0000   0.0000
  12.500   2.9293   0.00000  -0.00421  -0.3818   0.0000   0.0000
  15.000   3.3524   0.00000  -0.00417  -0.4327   0.0000   0.0000
  17.500   3.7692   0.00000  -0.00413  -0.4823   0.0000   0.0000
  20.000   4.1788   0.00000  -0.00408  -0.5302   0.0000   0.0000
  22.500   4.5804   0.00000  -0.00402  -0.5761   0.0000   0.0000
  25.000   4.9733   0.00000  -0.00396  -0.6195   0.0000   0.0000
