  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 7831                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000   0.2418   0.00000  -0.00278  -0.3461   0.0000   0.0000
  -7.500   0.5913   0.00000  -0.00283  -0.3632   0.0000   0.0000
  -5.000   0.9396   0.00000  -0.00289  -0.3801   0.0000   0.0000
  -2.500   1.2862   0.00000  -0.00295  -0.3967   0.0000   0.0000
   0.000   1.6303   0.00000  -0.00300  -0.4128   0.0000   0.0000
   2.500   1.9713   0.00000  -0.00306  -0.4284   0.0000   0.0000
   5.000   2.3086   0.00000  -0.00311  -0.4433   0.0000   0.0000
   7.500   2.6415   0.00000  -0.00316  -0.4573   0.0000   0.0000
  10.000   2.9694   0.00000  -0.00321  -0.4705   0.0000   0.0000
  12.500   3.2916   0.00000  -0.00325  -0.4826   0.0000   0.0000
  15.000   3.6076   0.00000  -0.00328  -0.4936   0.0000   0.0000
  17.500   3.9167   0.00000  -0.00331  -0.5035   0.0000   0.0000
  20.000   4.2184   0.00000  -0.00332  -0.5120   0.0000   0.0000
  22.500   4.5120   0.00000  -0.00332  -0.5193   0.0000   0.0000
  25.000   4.7971   0.00000  -0.00331  -0.5251   0.0000   0.0000
