  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4915                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000   0.0059   0.00000  -0.00126  -0.3011   0.0000   0.0000
  -7.500   0.3167   0.00000  -0.00129  -0.3091   0.0000   0.0000
  -5.000   0.6269   0.00000  -0.00134  -0.3164   0.0000   0.0000
  -2.500   0.9359   0.00000  -0.00139  -0.3230   0.0000   0.0000
   0.000   1.2432   0.00000  -0.00144  -0.3289   0.0000   0.0000
   2.500   1.5480   0.00000  -0.00151  -0.3339   0.0000   0.0000
   5.000   1.8500   0.00000  -0.00158  -0.3381   0.0000   0.0000
   7.500   2.1484   0.00000  -0.00165  -0.3415   0.0000   0.0000
  10.000   2.4428   0.00000  -0.00173  -0.3440   0.0000   0.0000
  12.500   2.7325   0.00000  -0.00181  -0.3455   0.0000   0.0000
  15.000   3.0170   0.00000  -0.00190  -0.3461   0.0000   0.0000
  17.500   3.2958   0.00000  -0.00198  -0.3458   0.0000   0.0000
  20.000   3.5683   0.00000  -0.00206  -0.3446   0.0000   0.0000
  22.500   3.8340   0.00000  -0.00213  -0.3425   0.0000   0.0000
  25.000   4.0925   0.00000  -0.00220  -0.3394   0.0000   0.0000
