  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 9065                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.5901   0.00000  -0.00428   0.0736   0.0000   0.0000
  -7.500  -0.1581   0.00000  -0.00428   0.0372   0.0000   0.0000
  -5.000   0.2743   0.00000  -0.00428  -0.0027   0.0000   0.0000
  -2.500   0.7062   0.00000  -0.00428  -0.0460   0.0000   0.0000
   0.000   1.1367   0.00000  -0.00427  -0.0923   0.0000   0.0000
   2.500   1.5650   0.00000  -0.00425  -0.1413   0.0000   0.0000
   5.000   1.9904   0.00000  -0.00423  -0.1925   0.0000   0.0000
   7.500   2.4120   0.00000  -0.00421  -0.2456   0.0000   0.0000
  10.000   2.8290   0.00000  -0.00418  -0.3002   0.0000   0.0000
  12.500   3.2406   0.00000  -0.00415  -0.3559   0.0000   0.0000
  15.000   3.6460   0.00000  -0.00411  -0.4122   0.0000   0.0000
  17.500   4.0445   0.00000  -0.00406  -0.4687   0.0000   0.0000
  20.000   4.4354   0.00000  -0.00401  -0.5250   0.0000   0.0000
  22.500   4.8177   0.00000  -0.00395  -0.5807   0.0000   0.0000
  25.000   5.1909   0.00000  -0.00388  -0.6353   0.0000   0.0000
