  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4589                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.2962   0.00000  -0.00408   0.1561   0.0000   0.0000
  -7.500  -0.8050   0.00000  -0.00410   0.0855   0.0000   0.0000
  -5.000  -0.3123   0.00000  -0.00411   0.0127   0.0000   0.0000
  -2.500   0.1810   0.00000  -0.00412  -0.0620   0.0000   0.0000
   0.000   0.6739   0.00000  -0.00412  -0.1379   0.0000   0.0000
   2.500   1.1656   0.00000  -0.00411  -0.2144   0.0000   0.0000
   5.000   1.6550   0.00000  -0.00410  -0.2910   0.0000   0.0000
   7.500   2.1413   0.00000  -0.00409  -0.3671   0.0000   0.0000
  10.000   2.6235   0.00000  -0.00407  -0.4421   0.0000   0.0000
  12.500   3.1008   0.00000  -0.00404  -0.5154   0.0000   0.0000
  15.000   3.5721   0.00000  -0.00400  -0.5865   0.0000   0.0000
  17.500   4.0366   0.00000  -0.00396  -0.6548   0.0000   0.0000
  20.000   4.4935   0.00000  -0.00391  -0.7198   0.0000   0.0000
  22.500   4.9418   0.00000  -0.00386  -0.7811   0.0000   0.0000
  25.000   5.3806   0.00000  -0.00380  -0.8381   0.0000   0.0000
